playId;songId;clientId;time
47410;3546;85116;21.05.2021
31546;8884;40590;20.09.2020
32382;2435;24568;17.12.2020
1227;1099;25164;21.05.2020
94277;5519;32160;19.04.2021
82661;3893;36246;9.09.2021
54653;8861;961;31.07.2022
83100;5074;59918;30.06.2020
81622;1000;52893;19.02.2022
60956;4839;9733;10.11.2022
64699;130;33831;25.02.2022
28700;8608;88387;4.03.2020
17916;6352;9084;29.12.2020
25982;6381;83042;19.02.2021
3653;4300;81242;25.07.2020
79634;5523;51654;1.09.2021
78663;7282;57372;28.06.2020
12403;8401;45482;28.10.2022
17700;1144;35278;2.07.2021
2531;7865;77615;3.05.2022
58707;9002;45599;31.10.2022
64638;4464;19436;27.02.2022
27704;5388;22654;28.03.2021
97371;1418;74139;2.05.2021
86543;3103;18797;18.10.2022
25512;6831;65549;31.05.2022
65822;5859;42953;9.12.2021
99157;7566;79984;12.04.2020
7981;50;14447;4.10.2022
83702;7682;18580;29.12.2020
58001;4368;4703;5.10.2021
52505;9733;92015;7.07.2022
4789;8348;98248;27.02.2020
75226;6329;97391;9.02.2021
94109;5100;59687;19.02.2022
62522;4332;28678;6.10.2022
39098;5795;4954;8.02.2022
53307;2194;33825;11.10.2020
93848;9743;51629;27.02.2020
51097;6784;34519;17.06.2022
12668;9743;31797;19.12.2021
16258;6021;81017;9.12.2022
34270;8191;95818;17.03.2020
93758;8661;37199;22.01.2021
79423;8489;86290;12.01.2022
27739;8134;76747;24.06.2021
81403;7948;87299;10.09.2020
26218;1676;76501;20.06.2021
29364;6452;20052;13.10.2021
98167;3776;65377;21.02.2021
2772;788;98312;16.11.2022
47769;9102;39315;27.04.2020
71789;8056;58537;7.01.2020
14655;2792;57916;31.05.2020
15656;6784;37726;8.05.2020
92548;4715;94364;7.07.2022
55349;7940;9267;12.12.2021
49639;2979;43340;22.04.2021
22664;3012;85392;29.05.2020
26052;3305;26459;23.12.2022
65410;2440;14879;31.05.2022
56260;853;95443;30.12.2020
37144;1300;90548;23.02.2021
80285;3075;9385;18.08.2021
51613;525;71064;8.03.2020
96988;5417;12807;11.08.2021
6151;596;85972;13.02.2022
57863;3633;3660;5.08.2020
19436;4024;51197;25.11.2020
42291;6954;65396;2.09.2020
36302;7835;41262;10.05.2022
21393;3711;94781;30.09.2022
33829;3885;52408;2.09.2022
69120;1088;56908;19.01.2021
24665;6847;9535;15.04.2022
60366;7745;61240;21.05.2022
16011;4146;47110;24.07.2022
26829;4914;39941;8.11.2022
51484;5368;80603;26.06.2022
42175;5390;33521;7.07.2021
25648;2713;70199;10.01.2020
45887;1154;12747;8.03.2022
95854;5947;11320;23.04.2020
91955;2583;11015;12.04.2021
28875;7035;5226;13.11.2022
83819;5908;58677;9.08.2021
16610;6811;99066;30.05.2020
71623;9500;66397;27.12.2022
38091;1523;92185;1.02.2020
87437;1437;78350;10.03.2022
34937;1698;51298;26.08.2021
98995;3195;41628;21.06.2020
89088;9623;23817;6.05.2022
5478;4016;59289;13.04.2022
81776;8098;97860;9.07.2021
14425;699;47202;25.09.2021
83015;5054;94983;20.05.2022
30444;4820;44302;14.02.2021
38356;8420;90188;9.08.2021
30969;2647;98001;18.03.2022
63815;9166;16124;20.06.2022
36623;2317;87358;31.10.2022
4326;3693;57215;18.08.2020
85197;2562;83576;9.06.2021
70589;6714;94981;6.05.2021
57992;2348;61274;9.03.2021
25822;2466;21229;20.03.2020
17098;8257;46697;22.11.2021
68817;390;20594;9.05.2020
94553;3994;75379;3.03.2021
70674;8435;55583;5.12.2020
7625;3598;91987;11.12.2022
92228;3363;93747;2.02.2020
28061;126;13009;20.04.2021
76829;3298;71908;25.10.2021
26586;4728;74330;19.10.2021
4768;9474;69167;8.02.2021
98225;5259;16518;13.09.2020
4782;4784;34815;4.10.2021
16110;7434;688;30.09.2022
4731;1361;1399;26.07.2021
20510;8746;6031;15.12.2021
57120;6394;95593;16.12.2022
61352;6469;45726;25.12.2021
88906;9089;64632;16.11.2020
83974;1893;51323;8.12.2022
955;8217;34825;21.05.2020
53358;9208;3790;12.12.2022
59872;2239;27246;23.09.2021
57726;2069;96283;29.07.2022
55737;5761;55355;24.06.2020
49689;2125;64329;19.05.2020
63031;805;72893;5.11.2020
18842;3442;50871;25.04.2020
2667;1402;14237;29.12.2020
43352;1335;55686;14.01.2020
91298;6335;32898;4.06.2020
48902;229;45971;26.07.2022
92230;600;13129;12.11.2020
56343;642;83240;5.11.2022
8453;6200;31454;22.07.2020
39907;5895;42024;10.07.2022
5731;7072;69073;13.03.2022
22557;2017;9051;5.10.2020
89740;8271;67669;30.03.2021
18687;4021;79862;2.07.2021
85422;1237;53557;10.02.2021
77954;364;44091;8.08.2021
58863;3827;18187;29.11.2021
60316;2571;51473;10.02.2022
38427;9266;82020;5.01.2021
1305;510;58903;10.04.2020
31844;4370;96046;17.04.2022
30071;2188;21953;11.03.2021
30389;3218;65066;22.04.2020
22487;9882;98098;29.06.2022
68686;4644;95969;17.12.2021
44388;628;14842;19.08.2021
92713;4474;58398;10.08.2022
50539;1055;41035;27.08.2022
16363;7581;51986;23.05.2022
83992;7122;19106;6.12.2021
48790;4679;37548;26.11.2020
43136;5193;44943;10.12.2022
72763;2201;67090;5.06.2020
11506;380;99688;17.12.2021
20286;758;8629;7.10.2020
10668;1324;83084;20.01.2021
26380;3407;22055;5.09.2022
96401;4552;1308;12.10.2022
71015;8286;19830;24.08.2020
61777;8101;78942;4.01.2022
67826;9490;90947;20.02.2020
26878;902;72946;7.02.2022
49363;4413;40013;4.12.2021
1236;7089;57839;31.07.2022
30443;653;1286;5.05.2022
88922;220;11340;24.03.2020
96285;768;74875;29.07.2022
74435;9327;10363;24.11.2021
53330;3321;1933;17.10.2020
28753;9377;35;23.06.2022
77005;5885;5688;29.01.2022
29879;7800;55460;16.05.2020
352;5901;59594;25.02.2021
14850;3671;55835;14.01.2022
37299;7179;18483;12.07.2022
85892;6972;16507;24.07.2022
44015;5449;30620;3.12.2021
16574;3627;41486;5.12.2022
76173;7241;75294;4.02.2022
16803;5567;5542;2.12.2020
91640;5611;73478;3.10.2020
88690;9311;97916;9.09.2022
9824;5372;90379;3.12.2021
74434;2010;94558;10.11.2020
75297;3863;53426;5.08.2020
59657;5846;60012;3.09.2020
2499;3316;59957;4.07.2022
84925;3582;95033;20.04.2021
6025;4043;80699;29.05.2022
57949;4108;82557;13.02.2021
67487;4200;56556;15.08.2021
45751;5285;11146;9.04.2022
63947;9043;60103;19.08.2022
59833;7586;77905;15.05.2022
8989;3007;97014;30.05.2021
46317;2905;14334;30.12.2021
59627;4371;10749;1.01.2022
22327;132;91668;26.10.2021
35880;9054;43408;15.02.2020
15797;8515;62331;17.11.2022
74253;4608;47050;3.05.2021
81318;5703;74261;3.04.2022
25738;1635;83696;3.02.2020
92781;63;9222;2.07.2020
1209;7490;65593;30.07.2021
50820;2823;33407;14.03.2021
1390;2514;82346;27.10.2021
44172;2672;54102;6.07.2020
26882;8212;55203;5.03.2022
70957;4421;32319;8.12.2021
99870;5591;12844;17.12.2022
53984;993;80439;4.04.2022
42188;1368;43426;4.01.2020
78561;2891;73542;6.03.2022
15356;9514;28670;17.04.2021
82630;8911;62916;30.03.2020
78762;9578;26577;12.08.2021
34126;3136;94880;5.07.2022
15438;6888;48606;6.11.2021
43534;2293;21153;5.02.2020
74394;6614;66293;11.12.2022
94137;1256;90655;17.01.2021
42672;9982;69469;25.06.2020
23624;2569;25640;29.01.2020
35306;3736;69940;12.11.2021
58434;242;7507;25.07.2020
68173;7433;59392;18.11.2022
34684;4479;45786;15.07.2022
4793;1661;63247;18.02.2021
49414;9692;54535;18.10.2022
38572;3476;51870;13.10.2020
52536;1110;12355;10.03.2021
38139;7944;49845;10.07.2020
95924;8010;90696;22.01.2021
52448;7302;57753;26.07.2020
69127;3321;52892;14.03.2022
74339;5769;95543;12.11.2020
56526;9545;3927;18.04.2021
9226;5573;58475;2.12.2021
68747;5365;7345;29.06.2021
36402;9237;98374;25.01.2020
68380;9959;61788;8.11.2021
38558;4389;7758;16.05.2022
71241;4733;84445;29.05.2020
66859;7091;58246;15.07.2021
12323;9166;77302;5.05.2020
65762;2631;22492;8.07.2020
3376;139;69194;12.12.2020
38014;7788;59983;11.07.2021
1380;8656;87166;8.06.2021
5319;337;31967;19.03.2020
61330;4292;581;13.04.2021
73709;5430;40911;14.01.2020
51319;6850;14859;20.02.2021
35767;6264;60929;8.02.2021
25894;4900;60315;21.12.2020
46224;7717;25288;17.03.2021
77474;3124;55200;4.05.2020
24641;6455;55276;21.05.2020
96581;3193;11361;12.12.2022
72672;3092;34165;28.07.2021
99596;528;87746;14.05.2021
30912;9871;28155;16.04.2020
74737;8821;88575;11.03.2020
73877;1452;70006;3.02.2020
33449;2932;10400;4.10.2021
94119;9818;85591;23.01.2020
74862;2769;25641;24.02.2020
29685;3949;11977;27.11.2020
90516;7651;44248;31.12.2021
93829;7675;47144;19.02.2021
17668;9651;80694;3.12.2022
5180;7186;56858;13.04.2022
5940;4469;13157;19.11.2022
17379;8003;19727;19.08.2021
3218;4865;86453;9.07.2021
89168;3085;78393;8.03.2022
92414;4986;13096;23.01.2021
6319;9597;92243;13.01.2020
63160;9144;85784;1.08.2020
58869;698;11724;24.05.2021
81691;3790;85070;8.04.2022
31959;150;25667;29.08.2022
89246;200;52570;4.08.2021
98600;4582;45952;11.01.2022
73550;3813;25161;14.11.2020
93136;9887;96944;6.10.2022
65981;233;62808;19.06.2021
64408;3113;83484;20.03.2021
46979;1568;60974;27.08.2021
49012;4840;34034;15.06.2021
89681;3907;1071;23.04.2020
97231;297;53544;12.10.2021
43608;1716;84718;25.07.2022
55787;8492;94179;13.01.2020
26969;4066;70687;17.11.2020
89373;7884;49155;19.02.2022
93152;3966;11902;19.03.2020
54923;8607;62963;19.09.2022
74809;7443;49373;20.01.2022
83223;8644;93081;13.01.2022
98958;3685;86452;9.08.2022
87549;9487;96490;26.06.2020
98588;7220;59751;3.01.2022
54678;3636;50084;20.03.2021
62272;8496;10821;12.06.2022
88425;216;56986;20.07.2021
9622;9858;95521;7.02.2022
96528;6755;23237;28.12.2021
93727;2660;70554;16.09.2022
12632;104;36489;27.09.2022
1260;7799;17880;8.12.2020
65029;9131;43620;24.02.2021
83416;686;60471;11.11.2020
12451;7016;8048;5.04.2021
63506;2946;31053;8.05.2021
51443;9426;35285;28.03.2020
45401;3058;36729;18.10.2021
30724;9201;55790;24.07.2021
68036;8909;94258;30.01.2020
80629;8723;94287;5.12.2021
11789;8769;70838;12.10.2022
93054;3587;74373;26.02.2021
12266;8729;51541;16.04.2021
2628;1065;81436;4.03.2022
64523;3007;17581;30.03.2020
20270;6398;52479;22.06.2020
5375;2164;35587;7.03.2022
83012;5316;99524;6.01.2020
76044;7428;33285;17.01.2021
64440;7939;3950;4.08.2020
83568;5236;1795;7.11.2021
59386;8078;51625;1.10.2022
75324;680;77512;9.08.2020
26614;2267;4285;12.11.2022
34545;970;10976;16.09.2021
77512;4039;71149;4.07.2022
55280;1575;52138;5.11.2020
79157;2681;10441;18.07.2022
46052;6601;64310;31.08.2021
35040;7616;10677;1.08.2020
47888;198;60886;3.02.2021
88948;4896;89963;4.01.2021
65838;518;18770;19.02.2021
51217;5811;35559;28.05.2021
86861;8633;85866;5.01.2021
83090;2561;32726;13.02.2022
75762;1922;97616;23.04.2021
24362;6819;46220;20.09.2022
67131;9348;73530;13.10.2020
78829;1506;99717;4.10.2020
12818;7008;74798;23.05.2022
27405;8083;55757;7.06.2021
48173;9065;94566;14.02.2021
98758;3621;43817;11.11.2021
38912;3241;76619;22.07.2022
64108;6576;25240;20.04.2020
50817;4239;96924;15.03.2022
50774;5783;80777;24.06.2020
38147;472;15193;29.02.2020
59199;5318;83182;9.02.2022
92031;7298;47538;13.09.2022
81435;5019;51727;10.12.2021
87076;4661;40676;10.02.2021
25839;7488;11910;8.12.2022
67079;5230;63597;2.04.2020
98191;7176;19956;30.07.2022
22183;2957;49774;17.01.2020
31698;2636;72652;10.03.2022
80469;8382;30213;25.06.2021
76584;1203;10076;4.10.2022
53556;991;4036;18.02.2022
53001;9771;66709;7.05.2020
12779;1669;22996;16.03.2021
34961;8518;80795;12.03.2020
19524;3303;13265;3.03.2020
50148;8667;30653;20.09.2020
61364;110;52080;18.12.2022
40074;184;84155;19.03.2022
19457;6126;31194;30.08.2022
72141;6242;43666;29.10.2022
61673;6897;77952;26.12.2022
71266;960;55413;12.06.2022
38195;5185;77468;26.02.2021
94951;5421;31030;9.04.2020
89575;3872;86069;13.02.2021
95262;5756;47154;18.02.2020
76369;478;7553;13.01.2021
85150;5829;56387;18.01.2020
78982;6217;13658;6.10.2022
97811;8563;57858;12.12.2022
68810;2796;40773;13.05.2020
63326;7297;61448;24.06.2022
32326;8953;58183;16.07.2022
40792;485;54591;21.04.2021
40310;5837;40321;5.01.2020
82808;2416;34484;17.05.2022
40615;6332;47108;21.06.2022
16210;1476;73779;6.08.2022
10047;2188;98407;18.04.2021
94922;9672;48508;29.06.2020
8990;4821;26989;7.04.2022
596;8702;8868;9.07.2021
85247;5139;79679;1.06.2020
2562;9682;36830;6.02.2020
71289;4723;80219;2.12.2022
1700;5460;80248;5.08.2020
68297;8291;27594;9.07.2020
40280;4923;58747;11.04.2020
17037;3207;64013;26.02.2020
14935;1857;28866;27.06.2020
96996;66;70062;9.04.2022
97175;3258;55244;18.05.2021
42962;2558;3354;9.11.2021
62969;7245;46746;22.03.2020
25276;2169;30448;27.07.2022
97356;756;85131;14.07.2020
92816;761;38193;20.10.2022
48747;8347;98977;29.08.2021
55629;6794;74147;3.03.2020
14649;8391;85217;10.06.2020
75347;5743;18613;23.10.2022
70943;961;24947;5.04.2022
6135;4867;18381;15.07.2020
61205;7796;64035;4.05.2021
96581;8640;30474;11.07.2021
26747;7822;97284;18.02.2021
43225;6167;33041;2.08.2020
18134;4197;62318;21.02.2021
17483;2480;1655;13.01.2020
92192;9794;66065;12.04.2021
63447;7416;40471;23.07.2021
44943;7013;1809;31.01.2022
43675;2143;69705;28.08.2022
23795;374;49645;18.07.2021
14727;8804;96989;13.05.2021
68049;2399;33766;2.02.2022
58482;94;59688;1.06.2021
91834;985;28428;8.10.2020
34426;3566;28308;4.01.2022
49320;9506;14408;7.04.2020
3723;5967;7275;5.04.2020
77948;7021;98232;24.03.2021
41241;3902;98214;14.10.2021
34128;3290;10569;25.07.2022
14275;1927;85008;15.03.2020
10081;2973;68024;16.11.2022
95805;9248;67909;9.02.2022
63337;4735;22361;23.02.2022
7272;2501;58743;8.03.2021
59126;3067;90643;20.09.2022
34437;5316;47242;28.09.2021
82443;2204;21834;30.12.2022
27837;7075;91342;8.02.2022
81096;6801;97115;22.01.2022
68453;3168;42100;3.11.2022
3556;679;57973;6.10.2022
67824;3103;67007;20.04.2022
15378;6349;81115;1.03.2020
52757;7538;43516;14.06.2020
45360;9699;94799;7.07.2022
8118;2563;52066;23.08.2020
16727;2844;64331;29.10.2021
84001;8984;82863;9.09.2022
38955;5430;1913;4.02.2021
79456;6576;21609;17.01.2021
83405;4136;62423;29.12.2021
64412;1758;68178;30.05.2020
37640;7258;80252;26.06.2022
69355;4073;51407;12.01.2021
77920;2763;72132;25.03.2021
56090;9305;37519;14.03.2021
95985;5988;26502;1.11.2022
3697;9875;90891;7.08.2020
16991;3791;90973;8.05.2020
22955;218;11157;7.11.2020
91524;8410;81991;21.02.2021
31910;9881;87756;12.07.2022
83793;3879;69323;17.01.2022
33867;8899;42698;21.06.2022
92859;5607;53214;21.11.2021
70672;4430;53545;8.12.2020
13210;6262;16124;12.01.2020
3749;5429;27148;23.03.2020
49406;5310;4853;22.09.2022
37438;8880;54152;15.02.2021
56420;1139;81703;24.06.2022
44067;6881;52839;1.09.2022
15320;2698;87913;16.04.2022
6132;3534;78659;21.06.2020
46866;2647;64395;31.08.2022
84064;3426;61648;10.04.2022
23867;8234;42243;19.04.2021
90643;9751;66415;30.06.2021
80878;143;68051;3.11.2022
56188;6419;41333;13.04.2022
26960;7853;71140;27.06.2021
71590;2711;15212;15.08.2020
48678;679;48329;12.03.2021
11508;3663;76614;30.10.2021
77189;6545;51835;18.04.2022
23641;5067;61056;19.05.2021
88350;2760;67932;7.12.2021
82388;4954;47710;27.11.2020
18665;948;80561;2.04.2020
15529;6263;83246;15.08.2022
39382;1480;72817;16.04.2022
387;6098;24966;26.03.2021
54596;9523;39209;14.10.2022
33255;8562;17672;16.11.2020
93852;9139;54567;7.11.2022
23966;7358;98569;11.09.2020
58603;7896;49429;2.02.2021
24529;5175;31162;20.02.2022
37498;9345;58417;18.03.2021
29641;2081;50993;17.06.2020
3636;5123;97733;26.02.2021
76573;1937;78823;12.06.2021
5686;3210;98868;18.07.2021
24205;9451;82954;30.05.2022
72107;6133;76478;22.03.2020
3822;2798;60495;28.07.2020
6960;6938;98985;22.08.2022
78254;4536;16193;12.03.2022
26229;6921;14933;3.08.2021
80596;7289;32111;27.03.2022
91295;6825;95582;17.12.2020
72451;9677;42645;27.10.2021
47179;5386;40006;6.06.2021
51742;867;588;2.06.2020
63289;5148;97635;11.11.2021
59399;6499;28437;30.06.2020
91488;6751;80125;12.08.2020
2596;2279;75424;23.08.2020
20684;1207;10348;29.12.2020
11643;9382;23593;16.10.2020
12667;9131;4017;22.05.2021
99668;6025;28903;6.09.2021
14916;7995;48699;27.09.2020
63045;5386;13495;2.02.2021
99903;6609;78363;13.03.2020
18583;777;38349;11.12.2021
19794;5739;15039;23.03.2020
39125;8904;26737;8.01.2022
56170;980;76817;5.07.2022
2398;2971;48320;17.09.2022
4935;4059;87217;7.08.2020
38905;9436;22024;30.09.2022
78221;3788;98200;25.02.2022
92769;7841;33385;24.04.2022
73163;5443;88366;25.10.2022
29564;5444;24545;5.09.2021
99118;3175;39510;26.04.2021
11073;486;77113;22.10.2021
73839;323;90637;25.06.2021
72367;7941;68154;19.12.2022
65847;5741;21466;24.03.2020
65512;6671;45149;29.03.2021
75507;794;81611;9.08.2020
68971;6031;9922;28.10.2022
23435;5519;98190;15.07.2021
69758;616;22086;7.10.2021
15697;7798;8172;21.04.2021
14728;6149;42452;11.10.2022
67857;2614;89732;22.02.2022
41604;2939;22735;6.01.2021
47355;285;96899;13.02.2022
64602;4170;12809;30.07.2020
60642;8293;35143;30.01.2020
7313;3466;93133;7.08.2020
18504;7563;88735;3.12.2021
38074;4736;6414;1.10.2021
87376;1213;16951;23.04.2021
39528;4641;63715;16.01.2021
49649;9165;65677;24.05.2021
50941;9662;356;19.06.2020
8709;259;61878;8.09.2021
81124;348;35799;1.05.2020
3016;7425;92433;22.01.2021
89487;9012;31827;1.12.2022
18168;6846;94255;3.03.2021
83319;5936;69623;19.02.2020
17609;9223;46667;11.03.2021
75153;9859;17493;19.10.2021
49590;3506;91871;12.04.2022
50150;7822;12389;7.06.2022
16607;4925;1389;2.09.2022
88663;4410;66005;18.06.2021
68553;2927;861;22.09.2021
52012;5223;59712;14.07.2021
31121;3400;59087;7.08.2020
68747;2919;69162;12.12.2020
80200;389;92818;10.10.2021
14368;1289;42164;8.08.2021
17937;5696;58237;12.07.2022
20548;6894;72630;6.06.2021
90857;1795;36358;18.02.2022
25235;3864;28731;21.08.2022
7790;4566;63105;24.02.2022
34448;479;20287;23.10.2022
21353;9140;33933;30.05.2021
82426;2541;59130;19.02.2021
94836;2764;71102;14.04.2020
25250;9147;63287;14.12.2020
39163;1944;97633;10.03.2021
22661;225;35613;11.01.2022
59228;9887;80887;31.07.2021
35619;1505;37696;12.12.2022
51356;7757;90257;29.05.2020
29748;2044;36287;17.11.2020
14286;4978;33674;28.12.2020
30284;3759;8405;12.04.2020
64510;858;77559;5.09.2020
6485;9201;34410;28.03.2020
17143;7794;18839;1.03.2022
93423;3385;72816;2.03.2022
12354;4242;43430;10.01.2021
87974;7731;11894;5.06.2021
29869;4652;654;13.11.2021
16007;1081;26445;9.02.2022
82428;1065;23236;26.04.2022
57388;1526;15951;23.02.2020
58501;8161;15295;16.01.2021
79530;7452;7853;3.08.2021
83236;3729;77710;12.10.2022
48178;4751;89577;23.05.2021
79831;6292;2221;26.04.2020
11618;5018;96944;26.08.2021
31912;9344;61376;11.07.2021
53373;6;85952;15.11.2022
69535;7955;36320;27.02.2020
11779;81;98970;24.10.2022
76823;5869;83427;18.04.2022
84729;7144;26757;23.11.2021
4183;6055;64833;8.11.2021
38533;6714;67445;18.03.2021
94761;3773;14214;28.01.2021
71848;9673;84075;10.12.2021
36650;2149;69139;10.11.2020
44521;7182;35584;4.01.2022
96067;5749;77177;21.04.2021
52088;7967;45985;7.11.2020
48135;5658;26412;22.09.2020
81089;1846;94077;24.01.2022
9430;5954;18331;1.12.2022
74778;5106;21833;21.06.2022
40380;8882;42827;7.03.2021
27136;4807;3347;6.03.2022
68649;7002;71624;1.10.2022
27377;8966;26394;18.02.2022
24300;1840;74020;10.05.2021
4990;3445;50349;22.02.2020
13292;5126;40580;18.09.2020
58994;6825;42705;28.10.2020
67210;7677;56718;29.05.2020
62478;68;24885;10.04.2022
56444;7336;21990;4.01.2020
71556;8591;25180;28.03.2020
47896;9392;55470;10.01.2020
89646;2814;20186;3.07.2022
60741;9594;11953;9.04.2020
64292;2066;42742;25.07.2020
40150;1510;72046;31.07.2021
9108;8483;78386;16.04.2021
18467;8842;87050;27.05.2020
53218;9001;30264;13.03.2020
76048;3618;22307;17.12.2022
27997;7080;81138;7.01.2021
32674;6790;82729;23.10.2022
26120;3499;21841;20.06.2020
85445;1778;15803;12.04.2020
33207;6595;54456;6.05.2022
19663;9795;72595;17.04.2022
11042;4730;62444;7.09.2021
21954;7656;24044;27.11.2020
36804;2488;88173;5.05.2020
95592;9401;29631;15.01.2021
91543;7437;21977;14.01.2021
49532;3081;46518;20.07.2020
3663;6825;44544;2.10.2022
97822;6058;2460;13.02.2022
6274;5722;20751;13.08.2021
6498;2344;6850;8.12.2022
1437;4171;96210;10.07.2022
61705;484;82255;14.11.2021
12794;5279;61233;24.02.2020
11885;4798;43077;14.03.2021
73168;2977;73409;28.08.2021
63228;9675;22271;6.04.2021
